Train worker process using GPU: 0 for training,,,,
[GPU0] Epoch 0 Training ====,,,,
Epoch Step:      1 , Accumulation Step:   1 , Loss:   1.28 , Tokens / Sec:   590.0 , Learning Rate: 5.4e-07
Epoch Step:     11 , Accumulation Step:   2 , Loss:   1.27 , Tokens / Sec:  3384.0 , Learning Rate: 3.2e-06
Epoch Step:     21 , Accumulation Step:   3 , Loss:   1.26 , Tokens / Sec:  3581.0 , Learning Rate: 5.9e-06
Epoch Step:     31 , Accumulation Step:   4 , Loss:   1.24 , Tokens / Sec:  3405.8 , Learning Rate: 8.6e-06
Epoch Step:     41 , Accumulation Step:   5 , Loss:   1.23 , Tokens / Sec:  3422.3 , Learning Rate: 1.1e-05
Epoch Step:     51 , Accumulation Step:   6 , Loss:   1.21 , Tokens / Sec:  3500.5 , Learning Rate: 1.4e-05
Epoch Step:     61 , Accumulation Step:   7 , Loss:   1.18 , Tokens / Sec:  3624.6 , Learning Rate: 1.7e-05
Epoch Step:     71 , Accumulation Step:   8 , Loss:   1.17 , Tokens / Sec:  3410.1 , Learning Rate: 1.9e-05
Epoch Step:     81 , Accumulation Step:   9 , Loss:   1.15 , Tokens / Sec:  3502.7 , Learning Rate: 2.2e-05
Epoch Step:     91 , Accumulation Step:  10 , Loss:   1.12 , Tokens / Sec:  3352.3 , Learning Rate: 2.5e-05
Epoch Step:    101 , Accumulation Step:  11 , Loss:   1.11 , Tokens / Sec:  3473.8 , Learning Rate: 2.7e-05
Epoch Step:    111 , Accumulation Step:  12 , Loss:   1.10 , Tokens / Sec:  3664.1 , Learning Rate: 3.0e-05
Epoch Step:    121 , Accumulation Step:  13 , Loss:   1.08 , Tokens / Sec:  3290.1 , Learning Rate: 3.3e-05
Epoch Step:    131 , Accumulation Step:  14 , Loss:   1.07 , Tokens / Sec:  3350.9 , Learning Rate: 3.6e-05
Epoch Step:    141 , Accumulation Step:  15 , Loss:   1.06 , Tokens / Sec:  3442.2 , Learning Rate: 3.8e-05
Epoch Step:    151 , Accumulation Step:  16 , Loss:   1.04 , Tokens / Sec:  3364.4 , Learning Rate: 4.1e-05
, ID , GPU , MEM ,
------------------,,,,
,0,"86,00 %","49,00 %",
[GPU0] Epoch 0 Validation ====,,,,
"(tensor(1.0472, device='cuda:0'), <algorithms.symbolicTransformer.src.core.training.TrainState object at 0x7fc811c71820>)",,,,
[GPU0] Epoch 1 Training ====,,,,
Epoch Step:      1 , Accumulation Step:   1 , Loss:   1.04 , Tokens / Sec:  3392.4 , Learning Rate: 4.2e-05
Epoch Step:     11 , Accumulation Step:   2 , Loss:   0.99 , Tokens / Sec:  3628.5 , Learning Rate: 4.5e-05
Epoch Step:     21 , Accumulation Step:   3 , Loss:   1.01 , Tokens / Sec:  3451.1 , Learning Rate: 4.8e-05
Epoch Step:     31 , Accumulation Step:   4 , Loss:   1.03 , Tokens / Sec:  3723.3 , Learning Rate: 5.0e-05
Epoch Step:     41 , Accumulation Step:   5 , Loss:   1.03 , Tokens / Sec:  3502.7 , Learning Rate: 5.3e-05
Epoch Step:     51 , Accumulation Step:   6 , Loss:   0.99 , Tokens / Sec:  3631.3 , Learning Rate: 5.6e-05
Epoch Step:     61 , Accumulation Step:   7 , Loss:   1.01 , Tokens / Sec:  3810.2 , Learning Rate: 5.8e-05
Epoch Step:     71 , Accumulation Step:   8 , Loss:   0.98 , Tokens / Sec:  3721.0 , Learning Rate: 6.1e-05
Epoch Step:     81 , Accumulation Step:   9 , Loss:   0.97 , Tokens / Sec:  3382.1 , Learning Rate: 6.4e-05
Epoch Step:     91 , Accumulation Step:  10 , Loss:   0.98 , Tokens / Sec:  3448.8 , Learning Rate: 6.6e-05
Epoch Step:    101 , Accumulation Step:  11 , Loss:   0.98 , Tokens / Sec:  3631.0 , Learning Rate: 6.9e-05
Epoch Step:    111 , Accumulation Step:  12 , Loss:   0.95 , Tokens / Sec:  3635.5 , Learning Rate: 7.2e-05
Epoch Step:    121 , Accumulation Step:  13 , Loss:   0.97 , Tokens / Sec:  3600.2 , Learning Rate: 7.5e-05
Epoch Step:    131 , Accumulation Step:  14 , Loss:   0.96 , Tokens / Sec:  3667.6 , Learning Rate: 7.7e-05
Epoch Step:    141 , Accumulation Step:  15 , Loss:   0.97 , Tokens / Sec:  3622.7 , Learning Rate: 8.0e-05
Epoch Step:    151 , Accumulation Step:  16 , Loss:   0.95 , Tokens / Sec:  3636.5 , Learning Rate: 8.3e-05
, ID , GPU , MEM ,
------------------,,,,
,0,"95,00 %","52,00 %",
[GPU0] Epoch 1 Validation ====,,,,
"(tensor(0.9510, device='cuda:0'), <algorithms.symbolicTransformer.src.core.training.TrainState object at 0x7fc811c71820>)",,,,
[GPU0] Epoch 2 Training ====,,,,
Epoch Step:      1 , Accumulation Step:   1 , Loss:   0.94 , Tokens / Sec:  3411.8 , Learning Rate: 8.4e-05
Epoch Step:     11 , Accumulation Step:   2 , Loss:   0.92 , Tokens / Sec:  3657.3 , Learning Rate: 8.7e-05
Epoch Step:     21 , Accumulation Step:   3 , Loss:   0.90 , Tokens / Sec:  3629.1 , Learning Rate: 8.9e-05
Epoch Step:     31 , Accumulation Step:   4 , Loss:   0.93 , Tokens / Sec:  3522.4 , Learning Rate: 9.2e-05
Epoch Step:     41 , Accumulation Step:   5 , Loss:   0.92 , Tokens / Sec:  3692.9 , Learning Rate: 9.5e-05
Epoch Step:     51 , Accumulation Step:   6 , Loss:   0.90 , Tokens / Sec:  3429.6 , Learning Rate: 9.7e-05
Epoch Step:     61 , Accumulation Step:   7 , Loss:   0.89 , Tokens / Sec:  3725.2 , Learning Rate: 1.0e-04
Epoch Step:     71 , Accumulation Step:   8 , Loss:   0.91 , Tokens / Sec:  3631.1 , Learning Rate: 1.0e-04
Epoch Step:     81 , Accumulation Step:   9 , Loss:   0.91 , Tokens / Sec:  3762.5 , Learning Rate: 1.1e-04
Epoch Step:     91 , Accumulation Step:  10 , Loss:   0.90 , Tokens / Sec:  3491.4 , Learning Rate: 1.1e-04
Epoch Step:    101 , Accumulation Step:  11 , Loss:   0.92 , Tokens / Sec:  3457.5 , Learning Rate: 1.1e-04
Epoch Step:    111 , Accumulation Step:  12 , Loss:   0.90 , Tokens / Sec:  3591.0 , Learning Rate: 1.1e-04
Epoch Step:    121 , Accumulation Step:  13 , Loss:   0.90 , Tokens / Sec:  3887.0 , Learning Rate: 1.2e-04
Epoch Step:    131 , Accumulation Step:  14 , Loss:   0.88 , Tokens / Sec:  3476.6 , Learning Rate: 1.2e-04
Epoch Step:    141 , Accumulation Step:  15 , Loss:   0.86 , Tokens / Sec:  3021.4 , Learning Rate: 1.2e-04
Epoch Step:    151 , Accumulation Step:  16 , Loss:   0.90 , Tokens / Sec:  3209.2 , Learning Rate: 1.2e-04
, ID , GPU , MEM ,
------------------,,,,
,0,"89,00 %","52,00 %",
[GPU0] Epoch 2 Validation ====,,,,
"(tensor(0.9105, device='cuda:0'), <algorithms.symbolicTransformer.src.core.training.TrainState object at 0x7fc811c71820>)",,,,
[GPU0] Epoch 3 Training ====,,,,
Epoch Step:      1 , Accumulation Step:   1 , Loss:   0.89 , Tokens / Sec:  3774.5 , Learning Rate: 1.3e-04
Epoch Step:     11 , Accumulation Step:   2 , Loss:   0.92 , Tokens / Sec:  3478.3 , Learning Rate: 1.3e-04
Epoch Step:     21 , Accumulation Step:   3 , Loss:   0.89 , Tokens / Sec:  3491.0 , Learning Rate: 1.3e-04
Epoch Step:     31 , Accumulation Step:   4 , Loss:   0.84 , Tokens / Sec:  3636.8 , Learning Rate: 1.3e-04
Epoch Step:     41 , Accumulation Step:   5 , Loss:   0.90 , Tokens / Sec:  3879.6 , Learning Rate: 1.4e-04
Epoch Step:     51 , Accumulation Step:   6 , Loss:   0.89 , Tokens / Sec:  3438.1 , Learning Rate: 1.4e-04
Epoch Step:     61 , Accumulation Step:   7 , Loss:   0.86 , Tokens / Sec:  3580.0 , Learning Rate: 1.4e-04
Epoch Step:     71 , Accumulation Step:   8 , Loss:   0.85 , Tokens / Sec:  3526.8 , Learning Rate: 1.4e-04
Epoch Step:     81 , Accumulation Step:   9 , Loss:   0.88 , Tokens / Sec:  3609.5 , Learning Rate: 1.5e-04
Epoch Step:     91 , Accumulation Step:  10 , Loss:   0.89 , Tokens / Sec:  3665.3 , Learning Rate: 1.5e-04
Epoch Step:    101 , Accumulation Step:  11 , Loss:   0.85 , Tokens / Sec:  3492.0 , Learning Rate: 1.5e-04
Epoch Step:    111 , Accumulation Step:  12 , Loss:   0.87 , Tokens / Sec:  3641.8 , Learning Rate: 1.6e-04
Epoch Step:    121 , Accumulation Step:  13 , Loss:   0.87 , Tokens / Sec:  3553.4 , Learning Rate: 1.6e-04
Epoch Step:    131 , Accumulation Step:  14 , Loss:   0.88 , Tokens / Sec:  3506.5 , Learning Rate: 1.6e-04
Epoch Step:    141 , Accumulation Step:  15 , Loss:   0.86 , Tokens / Sec:  3471.3 , Learning Rate: 1.6e-04
Epoch Step:    151 , Accumulation Step:  16 , Loss:   0.86 , Tokens / Sec:  3733.6 , Learning Rate: 1.7e-04
, ID , GPU , MEM ,
------------------,,,,
,0,"94,00 %","52,00 %",
[GPU0] Epoch 3 Validation ====,,,,
"(tensor(0.8922, device='cuda:0'), <algorithms.symbolicTransformer.src.core.training.TrainState object at 0x7fc811c71820>)",,,,
[GPU0] Epoch 4 Training ====,,,,
Epoch Step:      1 , Accumulation Step:   1 , Loss:   0.84 , Tokens / Sec:  3711.2 , Learning Rate: 1.7e-04
Epoch Step:     11 , Accumulation Step:   2 , Loss:   0.86 , Tokens / Sec:  3373.6 , Learning Rate: 1.7e-04
Epoch Step:     21 , Accumulation Step:   3 , Loss:   0.84 , Tokens / Sec:  3539.0 , Learning Rate: 1.7e-04
Epoch Step:     31 , Accumulation Step:   4 , Loss:   0.88 , Tokens / Sec:  3553.6 , Learning Rate: 1.8e-04
Epoch Step:     41 , Accumulation Step:   5 , Loss:   0.86 , Tokens / Sec:  3722.1 , Learning Rate: 1.8e-04
Epoch Step:     51 , Accumulation Step:   6 , Loss:   0.84 , Tokens / Sec:  3752.8 , Learning Rate: 1.8e-04
Epoch Step:     61 , Accumulation Step:   7 , Loss:   0.88 , Tokens / Sec:  3383.3 , Learning Rate: 1.8e-04
Epoch Step:     71 , Accumulation Step:   8 , Loss:   0.86 , Tokens / Sec:  3600.9 , Learning Rate: 1.9e-04
Epoch Step:     81 , Accumulation Step:   9 , Loss:   0.82 , Tokens / Sec:  3538.6 , Learning Rate: 1.9e-04
Epoch Step:     91 , Accumulation Step:  10 , Loss:   0.85 , Tokens / Sec:  3682.8 , Learning Rate: 1.9e-04
Epoch Step:    101 , Accumulation Step:  11 , Loss:   0.80 , Tokens / Sec:  3559.6 , Learning Rate: 1.9e-04
Epoch Step:    111 , Accumulation Step:  12 , Loss:   0.79 , Tokens / Sec:  3395.3 , Learning Rate: 2.0e-04
Epoch Step:    121 , Accumulation Step:  13 , Loss:   0.84 , Tokens / Sec:  3718.1 , Learning Rate: 2.0e-04
Epoch Step:    131 , Accumulation Step:  14 , Loss:   0.81 , Tokens / Sec:  3639.9 , Learning Rate: 2.0e-04
Epoch Step:    141 , Accumulation Step:  15 , Loss:   0.86 , Tokens / Sec:  3730.0 , Learning Rate: 2.0e-04
Epoch Step:    151 , Accumulation Step:  16 , Loss:   0.82 , Tokens / Sec:  3579.6 , Learning Rate: 2.1e-04
, ID , GPU , MEM ,
------------------,,,,
,0,"66,00 %","52,00 %",
[GPU0] Epoch 4 Validation ====,,,,
"(tensor(0.8747, device='cuda:0'), <algorithms.symbolicTransformer.src.core.training.TrainState object at 0x7fc811c71820>)",,,,
[GPU0] Epoch 5 Training ====,,,,
Epoch Step:      1 , Accumulation Step:   1 , Loss:   0.83 , Tokens / Sec:  4167.9 , Learning Rate: 2.1e-04
Epoch Step:     11 , Accumulation Step:   2 , Loss:   0.84 , Tokens / Sec:  3574.1 , Learning Rate: 2.1e-04
Epoch Step:     21 , Accumulation Step:   3 , Loss:   0.82 , Tokens / Sec:  3581.1 , Learning Rate: 2.1e-04
Epoch Step:     31 , Accumulation Step:   4 , Loss:   0.80 , Tokens / Sec:  3342.0 , Learning Rate: 2.2e-04
Epoch Step:     41 , Accumulation Step:   5 , Loss:   0.80 , Tokens / Sec:  3517.4 , Learning Rate: 2.2e-04
